clinic_uid	clinic_name
057871ae-d881-11ed-8f48-ea408af4d281	Евродон Стачки
0a4d881a-d87f-11ed-8f48-ea408af4d281	Евродон Зорге
23c45fac-d880-11ed-8f48-ea408af4d281	Евродон Самарское
38540652-401d-11ee-8302-3a1bcc6c939a	Выезд врача на Дом
49493f24-d87e-11ed-8f48-ea408af4d281	Евродон Дети
5394874c-d881-11ed-8f48-ea408af4d281	Евродон Суворовский
61a3507e-95b0-11ee-9ce8-ea408af4d281	Евродон Социалистическая
64805346-d882-11ed-8f48-ea408af4d281	Евродон Таганрог
70647a12-d877-11ed-8f48-ea408af4d281	Евродон Вавилова
82ca084e-d8f8-11ed-8f48-ea408af4d281	Евродон Левенцовка
97d09a4e-6c78-11f0-978c-ea408af4d281	Евродон Вересаева
a5383ca2-d880-11ed-8f48-ea408af4d281	Евродон Сельмаш
be99f92e-d8f8-11ed-8f48-ea408af4d281	Евродон Чалтырь
